codi                           area_joc_id             tipus              area_joc_superficie_m2   area_joc_tipus_edat_id         area_joc_tipus_edat_nom   codi_carrer            tipus_via   nom_carrer              numero_postal codi_districte nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                espai_verd_codi        espai_verd_nom
0033-01-J001-PV004-0003463JO                  696080   ALTRES_JOCS        278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.549.856              4.583.903.947              22.050.119                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003464JO                  696080   MULTIJOC           278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.548.694              4.583.894.516              22.049.990                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004304JO                  696080   MULTIJOC           278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.547.635              4.583.907.982              22.049.849                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004739JO                  696080   SEIENT_GRONXADOR   278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.552.072              4.583.909.366              22.050.378                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004740JO                  696080   SEIENT_GRONXADOR   278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.553.050              4.583.910.298              22.050.494                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004741JO                  696080   SEIENT_GRONXADOR   278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.544.202              4.583.899.168              22.049.448                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004742JO                  696080   SEIENT_GRONXADOR   278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.545.180              4.583.898.190              22.049.566                     33   Josep_Trueta_Jardins
0038-09-J001-PV001-0004378JO                  956010   TAULA_SORRAL       160.28                                            549   MIXTA                                   209900   Av          Meridiana                          90             10 Sant_Marti                   65   el_Clot                                 432.040.450              4.584.185.982              21.869.239                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004379JO                  956010   TAULA_SORRAL       160.28                                            549   MIXTA                                   209900   Av          Meridiana                          90             10 Sant_Marti                   65   el_Clot                                 432.040.343              4.584.189.283              21.869.222                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004380JO                  956010   TAULA_SORRAL       160.28                                            549   MIXTA                                   209900   Av          Meridiana                          90             10 Sant_Marti                   65   el_Clot                                 432.040.507              4.584.191.469              21.869.240                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
