codi                           codi_carrer        tipus_via   nom_carrer           numero_postal          codi_districte        nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                latitud                 espai_verd_codi        espai_verd_nom
0022-01-J001-PV002-0000300JO             242906   C           Pallars                              8361                    10   Sant_Marti                   68   el_Poblenou                             433.200.730              4.583.894.434              22.008.365             414.038.185                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
0022-01-J001-PV002-0000301JO             242906   C           Pallars                              8361                    10   Sant_Marti                   68   el_Poblenou                             433.195.051              4.583.890.641              22.007.690             414.037.839                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
0024-02-J001-PV001-0000295JO              18505   C           Arago                                 661                    10   Sant_Marti                   65   el_Clot                                 432.479.546              4.584.919.218              21.920.950             414.129.882                     24   Guipuscoa_c._-_Biscaia_c._
0024-02-J001-PV001-0000296JO              18505   C           Arago                                 661                    10   Sant_Marti                   65   el_Clot                                 432.484.121              4.584.923.643              21.921.492             414.130.284                     24   Guipuscoa_c._-_Biscaia_c._
0024-02-J001-PV001-0004976JO              18505   C           Arago                                 661                    10   Sant_Marti                   65   el_Clot                                 432.484.768              4.584.924.047              21.921.569             414.130.321                     24   Guipuscoa_c._-_Biscaia_c._
0024-02-J001-PV001-0004977JO              18505   C           Arago                                 661                    10   Sant_Marti                   65   el_Clot                                 432.483.554              4.584.923.016              21.921.425             414.130.227                     24   Guipuscoa_c._-_Biscaia_c._
0025-01-J001-PV001-0000347JO             244800   C           Paraguai                               44                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.899.788              4.585.447.915              22.090.293             414.178.681                     25   Zenobia_Camprubi_Pl.
0025-01-J001-PV001-0000348JO             244800   C           Paraguai                               44                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.901.686              4.585.453.461              22.090.514             414.179.182                     25   Zenobia_Camprubi_Pl.
0025-01-J001-PV001-0000349JO             244800   C           Paraguai                               44                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.896.466              4.585.450.305              22.089.893             414.178.893                     25   Zenobia_Camprubi_Pl.
0025-01-J001-PV001-0000350JO             244800   C           Paraguai                               44                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.905.376              4.585.450.806              22.090.959             414.178.946                     25   Zenobia_Camprubi_Pl.
0028-02-J002-PV001-0000428JO             700630   Pl          Puigcerda                               0                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.744.769              4.585.402.592              22.071.795             414.174.471                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000429JO             700630   Pl          Puigcerda                               0                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.742.425              4.585.395.402              22.071.522             414.173.821                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000430JO             700630   Pl          Puigcerda                               0                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.748.302              4.585.396.292              22.072.224             414.173.906                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000431JO             700630   Pl          Puigcerda                               0                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.748.875              4.585.399.786              22.072.289             414.174.221                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000432JO             700630   Pl          Puigcerda                               0                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.741.883              4.585.404.128              22.071.448             414.174.607                     28   Puigcerda_Pl.
0029-01-J001-PV001-0000425JO             350308   C           Valencia                              685                    10   Sant_Marti                   65   el_Clot                                 432.430.167              4.585.075.181              21.914.868             414.143.887                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0000426JO             350308   C           Valencia                              685                    10   Sant_Marti                   65   el_Clot                                 432.428.319              4.585.060.608              21.914.663             414.142.573                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0000427JO             350308   C           Valencia                              685                    10   Sant_Marti                   65   el_Clot                                 432.425.632              4.585.051.443              21.914.352             414.141.745                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0004974JO             350308   C           Valencia                              685                    10   Sant_Marti                   65   el_Clot                                 432.425.881              4.585.051.862              21.914.381             414.141.783                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0004975JO             350308   C           Valencia                              685                    10   Sant_Marti                   65   el_Clot                                 432.425.517              4.585.050.497              21.914.339             414.141.660                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0030-02-J001-PV001-0004349JO             356202   C           Veneçuela                              25                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.583.115              4.584.497.448              22.053.446             414.092.814                     30   Fluvia_c._-_Cristobal_de_Moura_c._-_Provençals_c.
0030-02-J001-PV001-0004350JO             356202   C           Veneçuela                              25                    10   Sant_Marti                   71   Provençals_del_Poblenou                 433.584.225              4.584.504.783              22.053.571             414.093.475                     30   Fluvia_c._-_Cristobal_de_Moura_c._-_Provençals_c.
0033-01-J001-PV004-0003457JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.553.538              4.583.899.460              22.050.564             414.038.930                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003458JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.551.798              4.583.901.330              22.050.354             414.039.097                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003459JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.544.777              4.583.898.640              22.049.517             414.038.849                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003460JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.552.619              4.583.909.729              22.050.443             414.039.854                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003463JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.549.856              4.583.903.947              22.050.119             414.039.331                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003464JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.548.694              4.583.894.516              22.049.990             414.038.481                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004304JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.547.635              4.583.907.982              22.049.849             414.039.693                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004739JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.552.072              4.583.909.366              22.050.378             414.039.821                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004740JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.553.050              4.583.910.298              22.050.494             414.039.906                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004741JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.544.202              4.583.899.168              22.049.448             414.038.896                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0004742JO             102623   Jard        Josep_Trueta                            0                    10   Sant_Marti                   68   el_Poblenou                             433.545.180              4.583.898.190              22.049.566             414.038.809                     33   Josep_Trueta_Jardins
0038-09-J001-PV001-0004378JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.450              4.584.185.982              21.869.239             414.063.471                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004379JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.343              4.584.189.283              21.869.222             414.063.769                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004380JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.507              4.584.191.469              21.869.240             414.063.966                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004381JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.272              4.584.188.173              21.869.215             414.063.668                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004382JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.352              4.584.187.087              21.869.226             414.063.571                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004383JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.430              4.584.190.378              21.869.232             414.063.867                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV001-0004384JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.416              4.584.192.554              21.869.228             414.064.063                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV002-0004262JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.155              4.584.178.407              21.869.212             414.062.789                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV002-0004263JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.039.675              4.584.171.065              21.869.163             414.062.127                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV002-0004264JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.124              4.584.174.686              21.869.213             414.062.454                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J001-PV003-0004377JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.146              4.584.167.732              21.869.223             414.061.827                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0038-09-J002-PV001-0004267JO             209900   Av          Meridiana                              90                    10   Sant_Marti                   65   el_Clot                                 432.040.833              4.584.353.067              21.869.097             414.078.520                     38   Meridiana_Av._(Clot_c._-_Arago_c.)
0042-01-J001-PV001-0000407JO             701856   Jard        Ana_Figuera                             0                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                433.344.583              4.585.281.317              22.024.046             414.163.217                     42   Andrade_c._(_Agricultura_c._-_Treball_c._)
0042-01-J001-PV001-0000408JO             701856   Jard        Ana_Figuera                             0                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                433.352.384              4.585.292.983              22.024.966             414.164.274                     42   Andrade_c._(_Agricultura_c._-_Treball_c._)
