codi                           area_joc_id       tipus              area_joc_superficie_m2   area_joc_tipus_edat_id         area_joc_tipus_edat_nom
0093-01-J001-PV001-0002457JO   161361   GRONXADOR          678.80   547   DE_6_A_12_ANYS
0093-01-J001-PV001-0002458JO   161361   SEIENT_GRONXADOR   678.80   547   DE_6_A_12_ANYS
0093-01-J002-PV002-0002459JO   161362   ALTRES_JOCS        518.34   547   DE_6_A_12_ANYS
0093-01-J002-PV002-0002460JO   161362   ALTRES_JOCS        518.34   547   DE_6_A_12_ANYS
0093-01-J002-PV002-0002461JO   161362   ALTRES_JOCS        518.34   547   DE_6_A_12_ANYS
0093-01-J002-PV003-0002454JO   161362   BALANCi            518.34   547   DE_6_A_12_ANYS
0093-01-J002-PV003-0002455JO   161362   BALANCi            518.34   547   DE_6_A_12_ANYS
0093-01-J002-PV003-0002456JO   161362   BALANCi            518.34   547   DE_6_A_12_ANYS
0093-01-J002-PV003-0002462JO   161362   ALTRES_JOCS        518.34   547   DE_6_A_12_ANYS
0093-01-J002-PV003-0003376JO   161362   BALANCi            518.34   547   DE_6_A_12_ANYS
0094-01-J001-PV002-0002468JO   162642   BALANCi            211.76   549   MIXTA
0094-01-J001-PV002-0002470JO   162642   MULTIJOC           211.76   549   MIXTA
0094-01-J001-PV002-0002471JO   162642   ALTRES_JOCS        211.76   549   MIXTA
0094-01-J001-PV002-0002472JO   162642   VA_I_Ve            211.76   549   MIXTA
0094-01-J001-PV002-0004193JO   162642   ALTRES_JOCS        211.76   549   MIXTA
0094-01-J001-PV002-0004195JO   162642   GRONXADOR          211.76   549   MIXTA
0094-01-J001-PV002-0004671JO   162642   SEIENT_GRONXADOR   211.76   549   MIXTA
0094-01-J001-PV002-0004672JO   162642   SEIENT_GRONXADOR   211.76   549   MIXTA
0094-01-J002-PV001-0002469JO   162643   TORRE_TOBOGAN      231.15   547   DE_6_A_12_ANYS
0094-01-J002-PV001-0002473JO   162643   GRIMPAR            231.15   547   DE_6_A_12_ANYS
0094-01-J002-PV001-0002474JO   162643   GRONXADOR          231.15   547   DE_6_A_12_ANYS
0094-01-J002-PV001-0004673JO   162643   SEIENT_GRONXADOR   231.15   547   DE_6_A_12_ANYS
0094-01-J002-PV001-0004674JO   162643   SEIENT_GRONXADOR   231.15   547   DE_6_A_12_ANYS
0095-01-J001-PV001-0002445JO   161290   GRONXADOR          344.71   549   MIXTA
0095-01-J001-PV001-0002446JO   161290   GRONXADOR          344.71   549   MIXTA
0095-01-J001-PV001-0002448JO   161290   MULTIJOC           344.71   549   MIXTA
0095-01-J001-PV001-0004678JO   161290   SEIENT_GRONXADOR   344.71   549   MIXTA
0095-01-J001-PV001-0004679JO   161290   SEIENT_GRONXADOR   344.71   549   MIXTA
0095-01-J001-PV003-0002447JO   161290   TORRE_TOBOGAN      344.71   549   MIXTA
0095-01-J001-PV004-0002449JO   161290   SORRALET           344.71   549   MIXTA
0095-01-J001-PV005-0002444JO   161290   BALANCi            344.71   549   MIXTA
0095-01-J001-PV005-0002450JO   161290   BALANCi            344.71   549   MIXTA
0095-01-J001-PV005-0002451JO   161290   BALANCi            344.71   549   MIXTA
0097-01-J001-PV006-0004129JO   956824   ALTRES_JOCS        485.49   546   FINS_A_5_ANYS
